0, 5, ['0', '0', '0', '1/15', '1/15', '7/30', '7/30', '2/5'], 
1, 2, ['1/35', '1/35', '13/210', '23/210', '9/70', '37/210', '22/105', '9/35'], 
2, 4, ['3/70', '3/70', '3/70', '9/70', '9/70', '6/35', '6/35', '19/70'], 
3, 7, ['2/35', '2/35', '2/35', '2/35', '2/35', '1/7', '2/7', '2/7'], 
4, 4, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
5, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
6, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
7, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
8, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
9, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
10, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
11, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
12, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
13, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
14, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
15, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
16, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
17, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
18, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
19, 5, ['3/35', '3/35', '3/35', '3/35', '3/35', '4/21', '4/21', '4/21'], 
